filename,label,source,original_path,width,height,fps,duration_s,file_size_kb,codec,bitrate_kbps,date_added,notes
rtfs_real_bdDhQL1aJcM_00008_00013.mp4,real,godmodes/rtfs-10k,original_videos/bdDhQL1aJcM_00008_00013.mp4,1280,720,25.0,5.0,770.558,h264,1262,2026-06-01T07:27:26.950021+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_G1lqcgRaJF8_00003_00010.mp4,real,godmodes/rtfs-10k,original_videos/G1lqcgRaJF8_00003_00010.mp4,1920,1080,25.0,7.0,1062.735,h264,1243,2026-06-01T07:27:31.248981+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_G1lqcgRaJF8_00394_00401.mp4,real,godmodes/rtfs-10k,original_videos/G1lqcgRaJF8_00394_00401.mp4,1920,1080,25.0,7.0,891.511,h264,1043,2026-06-01T07:27:34.225245+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_Puogf8zCR2k_00000_00074.mp4,real,godmodes/rtfs-10k,original_videos/Puogf8zCR2k_00000_00074.mp4,1280,720,25.0,74.0,11992.715,h264,1327,2026-06-01T07:27:38.828862+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_BkkyYuCAd7E_00130_00160.mp4,real,godmodes/rtfs-10k,original_videos/BkkyYuCAd7E_00130_00160.mp4,1920,1080,24.0,30.0,5265.663,h264,1437,2026-06-01T07:27:54.651701+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_tCslYHnm030_00000_00030.mp4,real,godmodes/rtfs-10k,original_videos/tCslYHnm030_00000_00030.mp4,1280,720,30.0,30.0,3878.488,h264,1059,2026-06-01T07:27:58.623112+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_ACFyTry7knA_00141_00151.mp4,real,godmodes/rtfs-10k,original_videos/ACFyTry7knA_00141_00151.mp4,1920,1080,29.97,10.01,3572.229,h264,2923,2026-06-01T07:28:02.186460+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_i7o2Ew-Hsuo_00002_00032.mp4,real,godmodes/rtfs-10k,original_videos/i7o2Ew-Hsuo_00002_00032.mp4,1280,720,29.97,30.03,2282.658,h264,622,2026-06-01T07:28:05.351282+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_s9XcXg6REtk_00022_00038.mp4,real,godmodes/rtfs-10k,original_videos/s9XcXg6REtk_00022_00038.mp4,1920,1080,30.0,16.0,3427.546,h264,1754,2026-06-01T07:28:12.578564+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_7K-sdKPE6uA_00214_00228.mp4,real,godmodes/rtfs-10k,original_videos/7K-sdKPE6uA_00214_00228.mp4,1280,720,25.0,14.0,807.671,h264,472,2026-06-01T07:28:15.656134+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_nzJxj91y7lg_00003_00030.mp4,real,godmodes/rtfs-10k,original_videos/nzJxj91y7lg_00003_00030.mp4,1280,720,29.97,27.027,5006.769,h264,1517,2026-06-01T07:28:19.250772+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_Ad3dk6heGjU_00000_00013.mp4,real,godmodes/rtfs-10k,original_videos/Ad3dk6heGjU_00000_00013.mp4,1920,1080,29.97,13.013,2614.908,h264,1646,2026-06-01T07:28:22.061718+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_24NAcWAi8E4_00001_00011.mp4,real,godmodes/rtfs-10k,original_videos/24NAcWAi8E4_00001_00011.mp4,1920,1080,29.97,10.01,2227.621,h264,1823,2026-06-01T07:28:25.277402+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_24NAcWAi8E4_00040_00070.mp4,real,godmodes/rtfs-10k,original_videos/24NAcWAi8E4_00040_00070.mp4,1920,1080,29.97,30.03,5370.783,h264,1465,2026-06-01T07:28:28.676178+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_10tsRjXuX9E_00001_00031.mp4,real,godmodes/rtfs-10k,original_videos/10tsRjXuX9E_00001_00031.mp4,1920,1080,30.0,30.0,8214.099,h264,2242,2026-06-01T07:28:32.446065+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_6KdY36vESSM_00000_00015.mp4,real,godmodes/rtfs-10k,original_videos/6KdY36vESSM_00000_00015.mp4,1920,1080,30.0,15.0,4015.804,h264,2193,2026-06-01T07:28:36.418577+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_0StAjz9xQpg_00002_00032.mp4,real,godmodes/rtfs-10k,original_videos/0StAjz9xQpg_00002_00032.mp4,1280,720,25.0,30.0,1251.206,h264,341,2026-06-01T07:28:39.549614+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_RSuKpeVI3zo_00032_00062.mp4,real,godmodes/rtfs-10k,original_videos/RSuKpeVI3zo_00032_00062.mp4,1280,720,29.97,30.03,2615.101,h264,713,2026-06-01T07:28:42.713015+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_r3st2GFOO_A_00000_00010.mp4,real,godmodes/rtfs-10k,original_videos/r3st2GFOO_A_00000_00010.mp4,1920,1080,29.97,10.01,2054.824,h264,1681,2026-06-01T07:28:48.291356+00:00,Creative Commons source clip from RTFS-10K.
rtfs_real_VCA5pfW5T5k_00094_00112.mp4,real,godmodes/rtfs-10k,original_videos/VCA5pfW5T5k_00094_00112.mp4,1280,720,25.0,18.0,1706.374,h264,776,2026-06-01T07:28:51.671532+00:00,Creative Commons source clip from RTFS-10K.
